Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV Score,CV Std,Train Time
Random Forest,0.8522167487684729,0.851993927473478,0.8522167487684729,0.8514397128335885,0.9554421275026137,0.816291751874574,0.0249930685779903,0.10742998123168945
DecisionTree,0.7635467980295566,0.7705566066259626,0.7635467980295566,0.7630009482176624,0.8930585671391378,0.7743315913050064,0.018788052898339454,0.003061056137084961
K-Nearest Neighbors,0.6995073891625616,0.7016708864789062,0.6995073891625616,0.6985017718742015,0.8623839888574867,0.6720821025524503,0.03634581819181291,0.0027818679809570312
Support Vector Machine,0.6945812807881774,0.6837019226275263,0.6945812807881774,0.6732002219699138,0.827255929490492,0.6855714610315837,0.028163077700290143,0.06512999534606934
LogisticRegression,0.6403940886699507,0.6224917202415742,0.6403940886699507,0.6254522923322333,0.801199240792065,0.612815269256987,0.01821235238852885,0.011960029602050781
